adduser	3.118ubuntu5
libgcc-11-dev-arm64-cross	11.4.0-1ubuntu1~22.04.3cross1
libgcc-11-dev-armhf-cross	11.4.0-1ubuntu1~22.04.3cross1
libgcc-s1	12.3.0-1ubuntu1~22.04.3
libgcc-s1	12.3.0-1ubuntu1~22.04.3
libgcc-s1-arm64-cross	12.3.0-1ubuntu1~22.04.3cross1
libgcc-s1-armhf-cross	12.3.0-1ubuntu1~22.04.3cross1
libgcrypt20	1.9.4-3ubuntu3.2
libgcrypt20	1.9.4-3ubuntu3.2
libgd3	2.3.0-2ubuntu2.3
libgdbm6	1.23-1
libgdbm-compat4	1.23-1
libgdk-pixbuf-2.0-0	2.42.8+dfsg-1ubuntu0.5
libgdk-pixbuf-2.0-0	2.42.8+dfsg-1ubuntu0.5
libgdk-pixbuf2.0-bin	2.42.8+dfsg-1ubuntu0.5
libgdk-pixbuf2.0-common	2.42.8+dfsg-1ubuntu0.5
libgl1	1.4.0-1
libgl1-amber-dri	21.3.9-0ubuntu1~22.04.2
libgl1-mesa-dri	23.2.1-1ubuntu3.1~22.04.4
libglapi-mesa	23.2.1-1ubuntu3.1~22.04.4
libgl-dev	1.4.0-1
libglib2.0-0	2.72.4-0ubuntu2.9
libglib2.0-0	2.72.4-0ubuntu2.9
libglib2.0-bin	2.72.4-0ubuntu2.9
libglib2.0-data	2.72.4-0ubuntu2.9
libglib2.0-dev	2.72.4-0ubuntu2.9
libglib2.0-dev-bin	2.72.4-0ubuntu2.9
libglu1-mesa	9.0.2-1
libglu1-mesa-dev	9.0.2-1
libglvnd0	1.4.0-1
libglx0	1.4.0-1
libglx-dev	1.4.0-1
libglx-mesa0	23.2.1-1ubuntu3.1~22.04.4
libgmp10	2:6.2.1+dfsg-3ubuntu1
libgmp10	2:6.2.1+dfsg-3ubuntu1
libgmp-dev	2:6.2.1+dfsg-3ubuntu1
libgmpxx4ldbl	2:6.2.1+dfsg-3ubuntu1
libgnutls28-dev	3.7.3-4ubuntu1.9
libgnutls30	3.7.3-4ubuntu1.9
libgnutls30	3.7.3-4ubuntu1.9
libgnutls-dane0	3.7.3-4ubuntu1.9
libgnutls-openssl27	3.7.3-4ubuntu1.9
libgnutlsxx28	3.7.3-4ubuntu1.9
libgomp1	12.3.0-1ubuntu1~22.04.3
libgomp1-arm64-cross	12.3.0-1ubuntu1~22.04.3cross1
libgomp1-armhf-cross	12.3.0-1ubuntu1~22.04.3cross1
libgpg-error0	1.43-3
libgpg-error0	1.43-3
libgpg-error-l10n	1.43-3
libgpm2	1.20.7-10build1
libgpm2	1.20.7-10build1
libgraphite2-3	1.3.14-1ubuntu0.1
libgraphite2-3	1.3.14-1ubuntu0.1
libgssapi-krb5-2	1.19.2-2ubuntu0.7
libgssapi-krb5-2	1.19.2-2ubuntu0.7
libgtk2.0-0	2.24.33-2ubuntu2.1
libgtk2.0-0	2.24.33-2ubuntu2.1
libgtk2.0-bin	2.24.33-2ubuntu2.1
libgtk2.0-common	2.24.33-2ubuntu2.1
libharfbuzz0b	2.7.4-1ubuntu3.2
libharfbuzz0b	2.7.4-1ubuntu3.2
libhogweed6	3.7.3-1build2
libhogweed6	3.7.3-1build2
libhtml-format-perl	2.12-1.1
libhtml-form-perl	6.07-1
libhtml-parser-perl	3.76-1build2
libhtml-tagset-perl	3.20-4
libhtml-tree-perl	5.07-2
libhttp-cookies-perl	6.10-1
libhttp-daemon-perl	6.13-1ubuntu0.2
libhttp-date-perl	6.05-1
libhttp-message-perl	6.36-1
libhttp-negotiate-perl	6.01-1
libhwasan0-arm64-cross	12.3.0-1ubuntu1~22.04.3cross1
libice6	2:1.0.10-1build2
libicu70	70.1-2
libicu70	70.1-2
libidn2-0	2.3.2-2build1
libidn2-0	2.3.2-2build1
libidn2-dev	2.3.2-2build1
libio-html-perl	1.004-2
libio-socket-ssl-perl	2.074-2
libio-string-perl	1.08-3.1
libipt2	2.0.5-1
libisl23	0.24-2build1
libitm1	12.3.0-1ubuntu1~22.04.3
libitm1-arm64-cross	12.3.0-1ubuntu1~22.04.3cross1
libjbig0	2.1-3.1ubuntu0.22.04.1
libjbig0	2.1-3.1ubuntu0.22.04.1
libjpeg8	8c-2ubuntu10
libjpeg8	8c-2ubuntu10
libjpeg-turbo8	2.1.2-0ubuntu1
libjpeg-turbo8	2.1.2-0ubuntu1
libjs-jquery	3.6.0+dfsg+~3.5.13-1
libjs-sphinxdoc	4.3.2-1
libjs-underscore	1.13.2~dfsg-2
libk5crypto3	1.19.2-2ubuntu0.7
libk5crypto3	1.19.2-2ubuntu0.7
libkeyutils1	1.6.1-2ubuntu3
libkeyutils1	1.6.1-2ubuntu3
libkrb5-3	1.19.2-2ubuntu0.7
libkrb5-3	1.19.2-2ubuntu0.7
libkrb5support0	1.19.2-2ubuntu0.7
libkrb5support0	1.19.2-2ubuntu0.7
libksba8	1.6.0-2ubuntu0.2
libldap-2.5-0	2.5.20+dfsg-0ubuntu0.22.04.1
libldap-common	2.5.20+dfsg-0ubuntu0.22.04.1
libllvm15	1:15.0.7-0ubuntu0.22.04.3
liblocale-gettext-perl	1.07-4build3
